brand,product,url,imgsrc,name,categories,specific,hex,lightness,hue,sat,description,brand_prod_hex,lighttodark,id,rgb,L,A,B,L_s,A_s,B_s,brand_popularity,light_bucket,lab_vec,kmeans_cluster,hier_cluster,Cluster,text_features
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528173sw?$tn$,shell,gem,1W1,#efcba4,0.790196078431373,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#efcba4,True,1,"(239, 203, 164)",83.83268029339297,7.138154009507347,24.18238436160618,1.034236758291114,-1.09875243019421,-0.008972267010644465,48,very_light,"(83.83268029339297, 7.138154009507347, 24.18238436160618)",3,3,3,gem No description
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529033sw?$50px$,linen,textile,1N1,#f3ceb0,0.82156862745098,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#f3ceb0,True,2,"(243, 206, 176)",85.16634109474008,8.636979306308135,19.761952805201123,1.11715715628602,-0.8264751665027549,-0.5544867763842521,48,very_light,"(85.16634109474008, 8.636979306308135, 19.761952805201123)",3,3,3,textile No description
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549910sw?$50px$,alabaster,gem,1C1,#f2cbb4,0.827450980392157,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#f2cbb4,True,3,"(242, 203, 180)",84.42506680834137,10.368952918534625,16.601646984054398,1.0710684065908322,-0.5118440771226879,-0.9444922899851594,48,very_light,"(84.42506680834137, 10.368952918534625, 16.601646984054398)",3,3,3,gem No description
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528170sw?$50px$,porcelain,misc,1N2,#f6c8a7,0.809803921568627,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#f6c8a7,True,4,"(246, 200, 167)",83.80597647661855,11.747580158091464,22.67054739615282,1.0325764477288777,-0.2614020454607871,-0.19554432223615031,48,very_light,"(83.80597647661855, 11.747580158091464, 22.67054739615282)",3,7,3,misc No description
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529037sw?$50px$,ivory,"gem, color",1C2,#f0c4ab,0.805882352941176,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#f0c4ab,True,5,"(240, 196, 171)",82.35044092151699,12.084645588315068,18.451451288383037,0.9420784834767624,-0.20017059091958186,-0.7162125225830648,48,very_light,"(82.35044092151699, 12.084645588315068, 18.451451288383037)",3,1,3,"gem, color No description"
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528172sw?$50px$,sand,rock,1W2,#f2c79d,0.782352941176471,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#f2c79d,True,6,"(242, 199, 157)",82.99870081388532,9.524666165857287,26.771170031683056,0.9823840605957875,-0.6652175805460716,0.3105033603495744,48,very_light,"(82.99870081388532, 9.524666165857287, 26.771170031683056)",0,7,0,rock No description
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529036sw?$50px$,cashmere,textile,1N3,#dfb38a,0.707843137254902,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#dfb38a,True,7,"(223, 179, 138)",75.92480837547436,10.441254190126037,26.98214056202859,0.542564598425415,-0.49870979627465184,0.33653871094491977,48,light,"(75.92480837547436, 10.441254190126037, 26.98214056202859)",0,7,0,textile No description
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529034sw?$50px$,vanilla,food,2W1,#eec29c,0.772549019607843,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#eec29c,True,8,"(238, 194, 156)",81.38114213565065,10.483409002308374,25.040913644937323,0.8818123040862972,-0.49105193452323015,0.09697670534719129,48,very_light,"(81.38114213565065, 10.483409002308374, 25.040913644937323)",0,7,0,food No description
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549902sw?$50px$,bisque,food,2C1,#eab498,0.756862745098039,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#eab498,True,9,"(234, 180, 152)",77.52189434294053,15.855976145798978,21.838518999565927,0.6418634635645929,0.48493097952993924,-0.29822288580113665,48,light,"(77.52189434294053, 15.855976145798978, 21.838518999565927)",1,1,1,food No description
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549903sw?$50px$,cashew,food,2N1,#ddad8c,0.707843137254902,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#ddad8c,True,10,"(221, 173, 140)",74.28858710107932,13.091320712427468,23.66890101328545,0.4408324944725022,-0.017297544404667856,-0.072339975175886,48,light,"(74.28858710107932, 13.091320712427468, 23.66890101328545)",1,1,1,food No description
Becca Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549913sw?$50px$,teak,wood,2C2,#e5ae8f,0.729411764705882,,,No description,Becca Cosmetics||Ultimate Coverage 24 Hour Foundation||#e5ae8f,True,11,"(229, 174, 143)",75.3987298990195,16.043098145614277,23.695430617910883,0.5098556542919983,0.518923644448881,-0.06906602238045144,48,light,"(75.3987298990195, 16.043098145614277, 23.695430617910883)",1,1,1,wood No description
